id,rating,year,img,name,link,location,type,lat,lng
1,1,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/7b13c846-7132-49f9-9f77-ee3383d3549f.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Shin Sushi,https://guide.michelin.com//en/california/encino/restaurant/shin-sushi,Encino,"Japanese, Japanese",34.157841,-118.494148
2,1,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/6c4fbaae-37fd-471e-b771-1f352b7c454c.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Hayato,https://guide.michelin.com//en/california/us-los-angeles/restaurant/hayato,Los Angeles,"Japanese, Japanese",34.033806,-118.241882
3,1,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/0fa885e5-4657-4b30-b287-6d9dc4710110.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Angler SF,https://guide.michelin.com//en/california/san-francisco/restaurant/angler,San Francisco,"Contemporary, Contemporary",37.793167,-122.392128
4,1,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/994288db-b02c-4e56-b7c0-68603881ca7e.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Harbor House,https://guide.michelin.com//en/california/elk/restaurant/harbor-house,Elk,"Californian, Californian",39.135876,-123.719444
5,1,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/16565e7e-e0b5-4449-a582-034756fe49ba.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Addison,https://guide.michelin.com//en/california/us-san-diego/restaurant/addison,San Diego,"Contemporary, Contemporary",32.941296,-117.198891
6,1,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/e641ee3f-410d-419d-a788-9b2b2fea3731.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Taco María,https://guide.michelin.com//en/california/us-costa-mesa/restaurant/taco-maria,Costa Mesa,"Mexican, Mexican",33.694958,-117.925751
7,1,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/a87dfca8-f7c8-4b27-8cc6-ed35668fde18.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Hana re,https://guide.michelin.com//en/california/us-costa-mesa/restaurant/hana-re,Costa Mesa,"Japanese, Japanese",33.677868,-117.885437
8,2,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/efe3fc77-f5d6-4d21-b24c-0c097dfa5564.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Vespertine,https://guide.michelin.com//en/california/culver-city/restaurant/vespertine,Culver City,Contemporary,34.024204,-118.38166
9,1,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/82c326a0-0d91-46a0-9264-e45ae8eb8db5.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Shunji,https://guide.michelin.com//en/california/us-los-angeles/restaurant/shunji,Los Angeles,"Japanese, Japanese",34.028496,-118.45195
10,2,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/0c915490-8cc4-4a4a-a913-a4a3634c57ff.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",n/naka,https://guide.michelin.com//en/california/us-los-angeles/restaurant/n-naka,Los Angeles,"Japanese, Japanese",34.025261,-118.412064
11,1,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/29a0ad6e-23c3-447e-a3c8-2e4156ccb26c.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Mori Sushi,https://guide.michelin.com//en/california/us-los-angeles/restaurant/mori-sushi,Los Angeles,"Japanese, Japanese",34.033398,-118.442291
12,1,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/6553a041-e90a-486e-8867-b6a342bf5185.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Kato,https://guide.michelin.com//en/california/us-los-angeles/restaurant/kato,Los Angeles,"Asian, Asian",34.041908,-118.461098
13,1,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/f2954cdd-cb65-4239-8dab-853e5ba13a18.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Rustic Canyon,https://guide.michelin.com//en/california/santa-monica/restaurant/rustic-canyon,Santa Monica,Californian,34.024952,-118.49118
14,1,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/488fd3b5-5a4b-4617-a4ed-5cc0bc7e00bc.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Bistro Na’s,https://guide.michelin.com//en/california/temple-city/restaurant/bistro-na-s,Temple City,"Chinese, Chinese",34.104881,-118.071213
15,2,MICHELIN Guide California,"https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/2449781c-ebc4-4bbf-bca1-50f0db2cab43.jpg?width=500&amp;sharp=1"" width=""362"" height=""203",Sushi Ginza Onodera,https://guide.michelin.com//en/california/west-hollywood/restaurant/sushi-ginza-onodera559850,West Hollywood,"Japanese, Japanese",34.082253,-118.376686
